Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GENOTYPE,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR9326182,RNA-Seq,202,6813435962,PRJNA549593,SAMN12092307,1964988716,Ewing sarcoma cell line (A673),GEO,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX6093103,SA1 KO,GSM3897548,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-29T00:00:00Z,GSM3897548,Ewing sarcoma cell line (A673),SRP201842
SRR9326183,RNA-Seq,200,9756829001,PRJNA549593,SAMN12092333,2998041878,Ewing sarcoma cell line (A673),GEO,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX6093104,SA1 KO,GSM3897549,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-29T00:00:00Z,GSM3897549,Ewing sarcoma cell line (A673),SRP201842
SRR9326184,RNA-Seq,200,9297096102,PRJNA549593,SAMN12092332,2874478885,Ewing sarcoma cell line (A673),GEO,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX6093105,SA1 KO,GSM3897550,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-29T00:00:00Z,GSM3897550,Ewing sarcoma cell line (A673),SRP201842
SRR9326185,RNA-Seq,202,8293756198,PRJNA549593,SAMN12092330,3868306449,Ewing sarcoma cell line (A673),GEO,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX6093106,SA2 KO,GSM3897551,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-29T00:00:00Z,GSM3897551,Ewing sarcoma cell line (A673),SRP201842
SRR9326186,RNA-Seq,202,9380104118,PRJNA549593,SAMN12092329,4460851387,Ewing sarcoma cell line (A673),GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX6093107,SA2 KO,GSM3897552,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-29T00:00:00Z,GSM3897552,Ewing sarcoma cell line (A673),SRP201842
SRR9326187,RNA-Seq,202,8908030118,PRJNA549593,SAMN12092328,4235087912,Ewing sarcoma cell line (A673),GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX6093108,SA2 KO,GSM3897553,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-29T00:00:00Z,GSM3897553,Ewing sarcoma cell line (A673),SRP201842
SRR9326188,RNA-Seq,202,7674309058,PRJNA549593,SAMN12092327,2206294929,Ewing sarcoma cell line (A673),GEO,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX6093109,Rescue of SA2 in SA2 KO cell,GSM3897554,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-29T00:00:00Z,GSM3897554,Ewing sarcoma cell line (A673),SRP201842
SRR9326189,RNA-Seq,200,9761271895,PRJNA549593,SAMN12092326,3004285908,Ewing sarcoma cell line (A673),GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX6093110,Rescue of SA2 in SA2 KO cell,GSM3897555,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-29T00:00:00Z,GSM3897555,Ewing sarcoma cell line (A673),SRP201842
SRR9326190,RNA-Seq,200,10451773928,PRJNA549593,SAMN12092325,3212807244,Ewing sarcoma cell line (A673),GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX6093111,Rescue of SA2 in SA2 KO cell,GSM3897556,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-29T00:00:00Z,GSM3897556,Ewing sarcoma cell line (A673),SRP201842
SRR9326191,RNA-Seq,102,2766661974,PRJNA549593,SAMN12092324,1618668615,Ewing sarcoma cell line (A673),GEO,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX6093112,siCT,GSM3897557,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-04-29T00:00:00Z,GSM3897557,Ewing sarcoma cell line (A673),SRP201842
